GeneID	log2(FC)
FBgn0085434	-0.393424430674441
FBgn0000064	0.269423469644579
FBgn0040308	0.374255332166607
FBgn0035083	-0.352270637208236
FBgn0264816	0.598704231216275
FBgn0284221	0.434144129104789
FBgn0003886	0.559240123877066
FBgn0014469	-0.327613701815683
FBgn0011754	0.397438543323379
FBgn0032421	0.562937544042393
FBgn0041588	0.323618911233739
FBgn0010194	0.304041351430179
FBgn0037445	-0.37323986292446
FBgn0051477	0.721798210577628
FBgn0003888	0.373393617322014
FBgn0039580	-0.357363452316792
FBgn0005694	-0.346100307999076
FBgn0031070	0.415025707808938
FBgn0037884	-0.410662233215415
FBgn0036801	-0.735868828300254
FBgn0037213	0.425370292643025
FBgn0262035	-0.479139112183655
FBgn0265191	0.388945598350764
FBgn0053508	0.66840029907763
FBgn0036194	-0.340526229560648
FBgn0041191	-0.35307044326971
FBgn0037705	-0.486005820515753
FBti0019110	0.743070059243513
FBgn0037852	0.36340064458429
FBgn0038953	0.352764991357066
FBgn0031170	-0.349738489499294
FBgn0266020	0.745815328540163
FBgn0052133	-0.34723482368649
FBgn0053329	-0.494984033806427
FBgn0036272	0.344544732913343
FBgn0002567	0.679486638927782
FBgn0052280	0.447815605135254
FBgn0001257	0.496514870191032
FBgn0028671	-0.277414534066509
FBgn0039612	-0.309406463612525
FBgn0005636	-0.533325068446119
FBgn0035113	0.576435079245128
FBgn0053193	0.428321053450381
FBgn0086357	0.337707613852551
FBgn0035969	0.715383070246855
FBgn0038118	-0.372747371247171
FBgn0033205	0.330417510064167
FBgn0032699	0.313110175624618
FBgn0266268	0.32508648175195
FBgn0012034	-0.351766185610997
FBgn0033292	-0.642918242539672
FBgn0030576	-0.453491584659839
FBgn0085468	0.520881723960338
FBgn0023169	-0.320093343576814
FBgn0029970	0.529571476789353
FBgn0014417	-0.339121815505619
FBgn0036147	-0.299011169768069
FBgn0050046	-0.308854243444163
FBgn0040477	-0.519223937568658
FBgn0037760	-0.318769455254199
FBgn0261015	-0.64673679333724
FBgn0036053	-0.332547936946001
FBgn0085249	-0.548097959611123
FBgn0004512	0.372056750925967
FBgn0028646	-0.333203296662344
FBgn0030482	-0.268290287894777
FBgn0039759	0.714515462386913
FBgn0032026	0.304232321562796
FBgn0038608	-0.404747571123941
FBgn0261555	0.576109546445515
